LME_PR_AL_serie_MOM_7,LME_PR_AL_serie_close
16.5,1513.5
52,1531
50,1530
-12,1495.5
-35,1491.5
-21,1498
-30.5,1493.5
,
-8.5,1505
-3,1528
-10.5,1519.5
33.5,1529
58.5,1550
74.5,1572.5
81.5,1575
46,1551
,
59.5,1587.5
101.5,1621
61,1590
46.5,1596.5
30.5,1603
,
,
23,1598
38,1589
-24.5,1563
-57,1564
-42,1548
-64.5,1532
-96,1507
-104,1494
-86,1503
-65.5,1497.5
-78.5,1485.5
-68,1480
-52.5,1479.5
-38,1469
,
,
-21.5,1472.5
-25.5,1477.5
-6.5,1491
38,1523.5
,
,
42,1522
18,1497.5
11.5,1480.5
12,1484.5
13.5,1491
2,1493
-10.5,1513
22.5,1544.5
50,1547.5
52.5,1533
62,1546.5
74,1565
104.5,1597.5
114,1627
90,1634.5
93,1640.5
98.5,1631.5
95.5,1642
83.5,1648.5
75,1672.5
,
,
,
1.5,1628.5
-24.5,1610
-39.5,1601
-33.5,1598
-86,1556
-106.5,1542
-113,1559.5
-84.5,1544
-81.5,1528.5
-76,1525
-67,1531
-27,1529
-7,1535
-1,1558.5
-18.5,1525.5
23.5,1552
13,1538
21.5,1552.5
21,1550
,
12.5,1547.5
-15,1543.5
31.5,1557
-10,1542
8,1546
-12.5,1540
45.5,1595.5
43.5,1591
40,1583.5
24,1581
62,1604
67,1613
52,1592
6.5,1602
16,1607
39.5,1623
42.5,1623.5
23,1627
-13,1600
-0.5,1591.5
0,1602
6,1613
11.5,1634.5
21,1644.5
25,1652
22,1622
31.5,1623
34.5,1636.5
27,1640
18,1652.5
1,1645.5
16.5,1668.5
49,1671
58.5,1681.5
8,1644.5
2,1642
-44.5,1608
-51.5,1594
-69,1599.5
-70.5,1600.5
-91.5,1590
-61.5,1583
-45,1597
7.5,1615.5
,
51,1645
35.5,1635
17.5,1618
25.5,1615.5
44,1627
47,1644
10,1625.5
0.5,1645.5
-5.5,1629.5
15,1633
28.5,1644
48.5,1675.5
41,1685
64.5,1690
2.5,1648
20.5,1650
19,1652
12,1656
-52.5,1623
-58,1627
,
-63,1627
-47.5,1600.5
-63.5,1586.5
-61,1591
-88,1568
-50,1573
-45,1582
-62,1565
-34,1566.5
-41.5,1545
-35,1556
-16,1552
-13.5,1559.5
-23,1559
-7,1558
-4.5,1562
24,1569
55,1611
85,1637
60,1619.5
88.5,1647.5
90,1648
90.5,1652.5
89,1658
,
38,1649
33,1670
42.5,1662
19.5,1667
25,1673
24.5,1677
14.5,1672.5
34.5,1683.5
10,1680
22,1684
-22.5,1644.5
-10,1663
-56,1621
-60.5,1612
-67.5,1616
-54,1626
-34,1650
27.5,1672
18,1681
80,1701
110.5,1722.5
115,1731
82,1708
75,1725
45.5,1717.5
33,1714
4.5,1705.5
14,1736.5
41,1772
68.5,1776.5
39,1764
7.5,1725
4.5,1718.5
-13.5,1692
-25,1711.5
-47,1725
-38.5,1738
1,1765
48,1773
31.5,1750
74,1766
10,1721.5
-3,1722
-16,1722
-50.5,1714.5
-46,1727
-34,1716
-38.5,1727.5
9,1730.5
20,1742
27,1749
40,1754.5
24.5,1751.5
19,1735
4.5,1732
-14,1716.5
-20,1722
-19,1730
-17.5,1737
-12.5,1739
,
-9,1726
-19.5,1712.5
-3.5,1713
,
,
,
-21,1701
-30,1700
-28,1709
-17.5,1721.5
-9.5,1716.5
44.5,1757
34.5,1747.5
86,1787
90,1790
102.5,1811.5
83.5,1805
83.5,1800
73,1830
91,1838.5
81,1868
79,1869
37,1848.5
32,1837
26.5,1826.5
-24,1806
-19,1819.5
-51.5,1816.5
-56.5,1812.5
-40.5,1808
-26,1811
-18.5,1808
14.5,1820.5
19,1838.5
31.5,1848
54.5,1867
84,1892
59.5,1870.5
69,1877
44.5,1865
,
39,1877.5
29.5,1877.5
5.5,1872.5
-10,1882
5.5,1876
30,1907
29.5,1894.5
56,1933.5
49.5,1927
34.5,1907
-15,1867
-18.5,1857.5
-26.5,1880.5
-48,1846.5
-49.5,1884
-46,1881
-57,1850
-5,1862
37,1894.5
19.5,1900
61,1907.5
32,1916
27,1908
62,1912
55,1917
20.5,1915
18,1918
23,1930.5
38.5,1954.5
38,1946
,
36,1948
20,1937
45,1960
37.5,1955.5
-1.5,1929
-26,1928.5
-39,1907
-41.5,1906.5
-47.5,1889.5
,
,
-45,1915
-61,1894.5
3.5,1932.5
3.5,1932
20.5,1927.5
35.5,1942
67.5,1957
39,1954
35,1929.5
,
,
-25.5,1907
-17,1915
-18.5,1909
-36,1906
-78.5,1878.5
-80.5,1873.5
-60,1869.5
-22,1885
-36,1879
-10,1899
8,1914
48.5,1927
30.5,1904
68,1937.5
56,1941
46.5,1925.5
44,1943
39,1953
22,1949
,
39,1943
-18.5,1919
-12,1929
-9.5,1916
-26,1917
-61,1892
-46,1903
-41,1902
-18,1901
-42,1887
-40,1876
-31,1886
-28.5,1863.5
-44,1859
-41,1861
-13,1888
-22.5,1864.5
-4.5,1871.5
-19,1867
-9,1854.5
2,1861
24.5,1885.5
9,1897
43.5,1908
,
45.5,1917
36,1903
58,1912.5
64,1925
33.5,1919
16.5,1913.5
-30,1878
-42,1875
7.5,1910.5
